Date;Day;Session;Video #;Videolink;Videolength;Timestamp;Timelink;Player Level;Stronghold Level;Tag;Action;Info;Shortage1;Shortage2;Shortage3;Ended1;Ended2;Limits;New expirience;Offer Time;Team Power;Name;Level;Rarity;Stage2;Provimce;Stage;Result;Gems;Gems+;Gems-;Gems Balance
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:01;0:08:01;1;2;Campaign;Finish Battle;;;;;;;;1;;;;;;1-2;1;2;Victory;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:14;0:08:14;1;2;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:18;0:08:18;1;2;Base;Start;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:19;0:08:19;1;2;Tutorial;Training Camp;;;;;;;;1;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:20;0:08:20;1;2;Building;Start;;;;;;;;1;;;Training Camp;0;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:21;0:08:21;1;2;Building;Finish;;;;;;;;;;;Training Camp;1;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:24;0:08:24;1;2;Train;Start;;;;;;;;1;;;Common;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:25;0:08:25;1;2;Train;Speed Up;;;;;;;;;;;Common;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:25;0:08:25;1;2;Train;Finish;;;;;;;;;;;Common;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:26;0:08:26;1;2;Train;New Hero;;;;;;;;1;;;Sharan;1;1;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:27;0:08:27;1;2;Tutorial;Heroes;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:29;0:08:29;1;2;Campaign;Dialog Start;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:32;0:08:32;1;2;Campaign;Map;;;;;;;;;;;;;;;;;;;0;0;100
14.10.2020;1;1;1,1;https://youtu.be/fee6_4ikGMw?list=PLTjhk5BwsiVV8SrR-dPCDjCfaMnt-5HZH;1:02:17;0:08:36;0:08:36;1;2;Tutorial;Edit Team;;;;;;;;1;;;;;;;;;;;0;0;100
